name,emissions,code
Albania,337321.7991,ALB
United Arab Emirates,11056385.55,ARE
Argentina,68588531.46,ARG
Australia,102537903.1,AUS
Austria,165606899.2,AUT
Azerbaijan,411731.7609,AZE
Belgium,123489569.3,BEL
Bangladesh,7719408.333,BGD
Bulgaria,895561.5896,BGR
Bahrain,3370188.483,BHR
Bosnia and Herzegovina,20415209.41,BIH
Belarus,3942468.07,BLR
Brazil,639165346.8,BRA
Canada,181489217.8,CAN
Switzerland,2207762.817,CHE
Chile,23172089.42,CHL
China,21416522842.0,CHN
Colombia,7188321.383,COL
Cuba,356262.1427,CUB
Czech Republic,105005988.0,CZE
Germany,702883195.7,DEU
Algeria,22448228.98,DZA
Ecuador,926726.8686,ECU
Egypt,38147234.91,EGY
Spain,113469511.6,ESP
Finland,63949454.0,FIN
France,239399004.9,FRA
United Kingdom,156653405.8,GBR
Ghana,657804.7474,GHA
Greece,2269644.113,GRC
Guatemala,489581.9375,GTM
Croatia,191411.7167,HRV
Hungary,33784489.72,HUN
Indonesia,125305723.3,IDN
India,1334394554.0,IND
Iran,162111456.9,IRN
Iraq,5238752.085,IRQ
Israel,330787.3844,ISR
Italy,160091438.7,ITA
Jordan,462439.9295,JOR
Japan,1817086697.0,JPN
Kazakhstan,102514303.6,KAZ
Kenya,4060188.731,KEN
South Korea,1205660880.0,KOR
Kuwait,1980993.334,KWT
Libya,2998805.434,LBY
Sri Lanka,33170.05427,LKA
Luxembourg,3364336.258,LUX
Latvia,326095.4268,LVA
Morocco,1338157.842,MAR
